group;instance_name;V_E;k;conflitos_Tabu_rand;avg_iter_Tabu_rand;std_Tabu_rand;tempo_s_Tabu_rand;conflitos_Tabu_gree;avg_iter_Tabu_gree;std_Tabu_gree;tempo_s_Tabu_gree;conflitos_SA_rand;avg_iter_SA_rand;std_SA_rand;tempo_s_SA_rand;conflitos_SA_gree;avg_iter_SA_gree;std_SA_gree;tempo_SA_gree;V;E
CAR;1-Insertions_4;(67/232);4;1.22;29.92;0.6289320754704403;0.09533130999999999;1.0;0.0;0.0;0.10442860000000001;20.166666666666668;112173.46666666666;1.8210139906170375;646.5905666666666;0.96;0.03;0.19694638556693236;142.8249;67;232
CAR;2-Insertions_4;(149/541);4;2.17;74.17;1.4074477222650548;0.2343664;1.0;0.0;0.0;0.1983733;67.16666666666667;97797.93333333333;1.984132457573184;1551.3643666666665;0.97;0.11;0.17144660799776532;293.953;149;541
CAR;3-FullIns_4;(405/3524);7;2.62;191.83;1.1439785263224431;1.02525223;11.0;89.0;0.0;1.4857651;346.46666666666664;131923.46666666667;8.52474424061016;8006.435999999999;57.94;0.02;0.3120476524086304;1592.9604799999997;405;3524
CAR;4-FullIns_4;(690/6650);8;3.27;310.93;1.3015530738469345;2.33483201;11.0;86.0;0.0;2.3118638000000002;605.0666666666667;144787.23333333334;12.531156573017162;14483.984900000001;79.93;0.1;0.3258245174347937;2865.1692599999997;690;6650
CAR;4-Insertions_3;(79/156);3;2.59;44.06;1.9801795653705525;0.13526106000000002;1.0;0.0;0.0;0.0954183;17.033333333333335;73697.2;1.4015590662158885;469.56250000000006;0.98;0.01;0.14070529413628965;88.8382;79;156
DSJ;DSJC1000.1;(1000/49629);20;152.47;1899.66;10.04279227942492;210.08977309;157.0;912.0;0.0;178.71064959999998;2059.3333333333335;166373.73333333334;15.592512202387697;94189.43286666667;331.94;0.0;0.2777979790634143;18645.46465;1000;49629
DSJ;DSJC250.1;(250/3218);8;28.54;297.37;4.381826564391161;4.03229611;30.0;194.0;0.0;4.029971699999999;275.7;146611.0;6.863948798137139;7087.146666666667;67.8;0.02;0.7106690545187014;1424.98637;250;3218
DSJ;DSJC250.5;(250/15668);28;43.43;488.25;5.021680269319496;34.61241963;38.0;285.0;0.0;27.763037100000002;439.8666666666667;148937.83333333334;6.196402367410512;28116.051199999998;84.98;0.0;0.2;5662.155849999999;250;15668
DSJ;DSJC500.1;(500/12458);12;74.36;1083.07;6.708234047825407;28.799289639999994;81.0;458.0;0.0;27.445365399999996;803.3;154214.26666666666;7.00320123844852;25570.460966666662;177.9;0.03;0.4605661864718382;5107.0484400000005;500;12458
DSJ;DSJC500.5;(500/62624);48;98.6;1403.69;7.029519287557395;273.20911712000003;98.0;634.0;0.0;245.11032529999997;1100.3;164647.73333333334;11.659390177464036;112381.95163333332;191.98;0.0;0.19999999999999998;22341.64065;500;62624
DSJ;DSJR500.1;(500/3555);12;7.35;258.7;1.898298014942689;1.9142965600000001;5.0;16.0;0.0;1.2326985;208.86666666666667;110717.9;4.658942704781502;7233.188866666666;6.99;0.0;0.09999999999999999;1460.7965500000003;500;3555
DSJ;DSJR500.1c;(500/121275);85;18.09;586.01;3.2662801255535108;149.44687667999997;26.0;85.0;0.0;132.3015398;1258.0666666666666;155948.6;9.634468771330733;218362.42976666667;63.0;0.0;0.0;43508.586590000006;500;121275
DSJ;DSJR500.5;(500/58862);122;48.82;1905.87;4.827070132140827;386.34639316;34.0;2107.0;0.0;246.55761590000003;385.6;140782.2;6.657119600796606;93288.77703333335;43.0;0.0;0.0;18605.240070000003;500;58862
GOM;qg.order30;(900/26100);30;15.1;1196.37;4.30996027542686;24.790752369999996;0.0;44.0;0.0;0.07875299999999999;703.9;140026.06666666668;13.147308627165145;44695.940566666664;87.94285714285714;0.0;0.33806170189140666;8934.81437142857;900;26100
GOM;qg.order40;(1600/62400);40;26.7;2149.54;4.026427847623897;121.66191693;108.0;3790.0;0.0;362.56183159999995;1319.8666666666666;148470.16666666666;19.58312668024983;105279.66103333334;383.7;0.3;0.9486832980505138;20684.4574;1600;62400
GOM;qg.order60;(3600/212400);60;50.61;5695.59;6.085078620542369;1443.07397792;0.0;176.0;0.0;4.3213304;3109.8333333333335;152690.1;27.431523941391344;359061.8595333333;352.0;0.0;0.0;68248.18710000001;3600;212400
HOS;ash331GPIA;(662/4185);4;19.88;505.72;8.146735108575271;2.3839588800000002;41.0;431.0;0.0;3.9643351000000004;699.9;149972.73333333334;14.33190316307859;11162.889500000001;138.75;0.13;0.6871842709362768;2234.1566199999997;662;4185
HOS;ash608GPIA;(1216/7844);4;35.05;1046.93;10.949263154950824;7.56008149;63.0;236.0;0.0;8.613930400000001;1357.8666666666666;156713.26666666666;17.06323600576707;21255.883166666667;311.62;0.09;0.8736316862570424;4203.45332;1216;7844
HOS;will199GPIA;(701/6772);7;10.48;582.4;3.8098224991129803;3.47443409;7.0;65.0;0.0;1.6232421000000001;734.1333333333333;151339.46666666667;11.382785954763184;16138.184033333335;74.93;0.04;0.43239992711573966;3208.0770599999996;701;6772
LEI;le450_15a;(450/8168);15;41.4;510.89;4.165757476562379;16.36700375;34.0;507.0;0.0;12.9165369;411.93333333333334;140081.76666666666;8.325007334917897;15426.05163333333;70.98;0.01;0.14070529413628968;3071.78512;450;8168
LEI;le450_15b;(450/8169);15;39.85;540.61;3.9883036063677064;15.681389999999999;43.0;133.0;0.0;15.9592814;411.1333333333333;135410.43333333332;7.726949406229912;15433.463866666665;76.89;0.03;0.5103969538555756;3068.6946899999994;450;8169
LEI;le450_15c;(450/16680);15;232.3;870.25;11.230819788925166;80.73735993000001;242.0;709.0;0.0;81.34813319999999;882.8333333333334;158268.9;9.90326777602616;32631.781066666663;339.92;0.0;0.3938927711338647;6502.049249999999;450;16680
LEI;le450_15d;(450/16750);15;237.33;835.6;8.66439947035097;81.80313487;238.0;501.0;0.0;78.87515590000001;884.3333333333334;154388.8;14.155133912893724;32854.30133333334;329.91;0.01;0.3785938897200182;6509.297120000002;450;16750
LEI;le450_25a;(450/8260);25;7.4;275.51;1.8202008991128733;4.63693494;4.0;24.0;0.0;2.3906438999999997;245.36666666666667;120055.33333333333;4.817234385665366;13526.147666666666;7.99;0.01;0.09999999999999999;2682.7971700000007;450;8260
LEI;le450_25b;(450/8263);25;5.21;259.51;1.3355663119955419;3.63376952;4.0;14.0;0.0;2.4531007000000002;244.96666666666667;124318.6;6.930608438898662;13672.958866666666;7.0;0.0;0.0;2718.7029799999996;450;8263
LEI;le450_25c;(450/17343);25;61.8;641.89;4.6839506764476;49.75969188000001;56.0;300.0;0.0;41.5031112;549.1666666666666;147361.23333333334;7.047050414196701;30559.28503333333;99.95;0.0;0.26111648393354675;6041.674099999999;450;17343
LEI;le450_25d;(450/17425);25;61.65;580.54;4.269636750333449;49.58729721999999;58.0;206.0;0.0;43.4019163;548.5666666666667;150553.43333333332;7.045092854841115;30787.931099999998;102.0;0.0;0.0;6104.71967;450;17425
LEI;le450_5a;(450/5714);5;182.07;720.09;107.15345882132662;13.94745965;327.0;329.0;0.0;22.5106297;804.4666666666667;152646.1;12.036534423144406;14227.827966666664;476.05;0.25;1.8552410064245537;2810.1534499999993;450;5714
LEI;le450_5b;(450/5734);5;187.87;709.2;105.7766519654035;14.418853149999997;106.0;730.0;0.0;9.187732400000002;806.4666666666667;158102.23333333334;12.566329761635295;14301.748700000002;454.78;0.43;2.307563321958573;2849.9651300000005;450;5734
LEI;le450_5c;(450/9803);5;87.89;469.66;33.31844970746825;7.304279949999999;69.0;288.0;0.0;4.521139400000001;1421.0;168143.66666666666;15.290294419934362;24793.712933333336;731.82;0.29;2.690724809414742;4907.77952;450;9803
LEI;le450_5d;(450/9757);5;90.54;461.37;30.176055796514284;7.5146542499999995;71.0;239.0;0.0;5.7837305;1410.2666666666667;171435.46666666667;12.985225910781184;24662.996133333327;845.71;0.28;2.2931386457178835;4935.338470000001;450;9757
SGB;anna;(138/493);11;2.2;27.68;1.348399724926484;0.36903677000000007;2.0;0.0;0.0;0.34018529999999997;37.0;79513.06666666667;2.8647681497329134;1664.7839666666664;2.0;0.0;0.0;338.48014;138;493
SGB;david;(87/406);11;1.98;24.09;1.222516034473763;0.26374754;0.0;3.0;0.0;0.00015319999999999998;27.466666666666665;89436.0;1.8888663510036974;1477.6700666666666;2.0;0.0;0.0;295.60651;87;406
SGB;homer;(561/1629);13;144.14;51.04;13.138746769257205;0.049419199999999996;8.0;2.0;0.0;0.0006232;148.4;90216.8;9.445305347284876;5195.248933333333;8.0;0.0;0.0;1044.9227199999998;561;1629
