Instância;Tabu (Random);Tabu (Greedy);SA (Random);SA (Greedy)
1-Insertions_4;1.22 ± 0.6;1.00 ± 0.0;20.17 ± 1.8;0.96 ± 0.2
2-Insertions_4;2.17 ± 1.4;1.00 ± 0.0;67.17 ± 2.0;0.97 ± 0.2
3-FullIns_4;2.62 ± 1.1;11.00 ± 0.0;346.47 ± 8.5;57.94 ± 0.3
4-FullIns_4;3.27 ± 1.3;11.00 ± 0.0;605.07 ± 12.5;79.93 ± 0.3
4-Insertions_3;2.59 ± 2.0;1.00 ± 0.0;17.03 ± 1.4;0.98 ± 0.1
DSJC1000.1;152.47 ± 10.0;157.00 ± 0.0;2059.33 ± 15.6;331.94 ± 0.3
DSJC250.1;28.54 ± 4.4;30.00 ± 0.0;275.70 ± 6.9;67.80 ± 0.7
DSJC250.5;43.43 ± 5.0;38.00 ± 0.0;439.87 ± 6.2;84.98 ± 0.2
DSJC500.1;74.36 ± 6.7;81.00 ± 0.0;803.30 ± 7.0;177.90 ± 0.5
DSJC500.5;98.60 ± 7.0;98.00 ± 0.0;1100.30 ± 11.7;191.98 ± 0.2
DSJR500.1;7.35 ± 1.9;5.00 ± 0.0;208.87 ± 4.7;6.99 ± 0.1
DSJR500.1c;18.09 ± 3.3;26.00 ± 0.0;1258.07 ± 9.6;63.00 ± 0.0
DSJR500.5;48.82 ± 4.8;34.00 ± 0.0;385.60 ± 6.7;43.00 ± 0.0
qg.order30;15.10 ± 4.3;0.00 ± 0.0;703.90 ± 13.1;87.94 ± 0.3
qg.order40;26.70 ± 4.0;108.00 ± 0.0;1319.87 ± 19.6;383.70 ± 0.9
qg.order60;50.61 ± 6.1;0.00 ± 0.0;3109.83 ± 27.4;352.00 ± 0.0
ash331GPIA;19.88 ± 8.1;41.00 ± 0.0;699.90 ± 14.3;138.75 ± 0.7
ash608GPIA;35.05 ± 10.9;63.00 ± 0.0;1357.87 ± 17.1;311.62 ± 0.9
will199GPIA;10.48 ± 3.8;7.00 ± 0.0;734.13 ± 11.4;74.93 ± 0.4
le450_15a;41.40 ± 4.2;34.00 ± 0.0;411.93 ± 8.3;70.98 ± 0.1
le450_15b;39.85 ± 4.0;43.00 ± 0.0;411.13 ± 7.7;76.89 ± 0.5
le450_15c;232.30 ± 11.2;242.00 ± 0.0;882.83 ± 9.9;339.92 ± 0.4
le450_15d;237.33 ± 8.7;238.00 ± 0.0;884.33 ± 14.2;329.91 ± 0.4
le450_25a;7.40 ± 1.8;4.00 ± 0.0;245.37 ± 4.8;7.99 ± 0.1
le450_25b;5.21 ± 1.3;4.00 ± 0.0;244.97 ± 6.9;7.00 ± 0.0
le450_25c;61.80 ± 4.7;56.00 ± 0.0;549.17 ± 7.0;99.95 ± 0.3
le450_25d;61.65 ± 4.3;58.00 ± 0.0;548.57 ± 7.0;102.00 ± 0.0
le450_5a;182.07 ± 107.2;327.00 ± 0.0;804.47 ± 12.0;476.05 ± 1.9
le450_5b;187.87 ± 105.8;106.00 ± 0.0;806.47 ± 12.6;454.78 ± 2.3
le450_5c;87.89 ± 33.3;69.00 ± 0.0;1421.00 ± 15.3;731.82 ± 2.7
le450_5d;90.54 ± 30.2;71.00 ± 0.0;1410.27 ± 13.0;845.71 ± 2.3
anna;2.20 ± 1.3;2.00 ± 0.0;37.00 ± 2.9;2.00 ± 0.0
david;1.98 ± 1.2;0.00 ± 0.0;27.47 ± 1.9;2.00 ± 0.0
homer;144.14 ± 13.1;8.00 ± 0.0;148.40 ± 9.4;8.00 ± 0.0
miles1000;7.34 ± 2.0;4.00 ± 0.0;84.87 ± 3.7;4.00 ± 0.0
miles1500;6.76 ± 2.1;6.00 ± 0.0;77.53 ± 3.6;6.00 ± 0.0
miles250;2.08 ± 1.6;0.00 ± 0.0;39.73 ± 1.8;1.98 ± 0.2
miles500;4.08 ± 1.4;4.00 ± 0.0;57.00 ± 3.0;4.00 ± 0.0
miles750;6.34 ± 1.8;4.00 ± 0.0;71.07 ± 3.0;5.94 ± 0.3
queen11_11;46.38 ± 6.0;42.00 ± 0.0;218.53 ± 6.9;75.78 ± 0.8
queen13_13;59.92 ± 7.0;56.00 ± 0.0;332.33 ± 8.4;121.82 ± 0.8
queen5_5;5.92 ± 6.3;12.00 ± 0.0;18.80 ± 2.3;15.54 ± 1.0
queen6_6;5.20 ± 2.3;6.00 ± 0.0;30.00 ± 2.0;13.84 ± 0.6
queen7_7;20.68 ± 4.2;22.00 ± 0.0;62.00 ± 2.9;33.64 ± 1.0
queen8_12;7.80 ± 4.1;2.00 ± 0.0;125.80 ± 5.6;27.98 ± 0.2
queen8_8;12.26 ± 4.0;8.00 ± 0.0;78.87 ± 4.3;17.92 ± 0.4
queen9_9;16.10 ± 5.2;6.00 ± 0.0;114.00 ± 5.0;31.96 ± 0.3
