Instância;Tabu (Random);Tabu (Greedy);SA (Random);SA (Greedy)
1-Insertions_4;1.22 ± 51.6%;1.00 ± 0.0%;20.17 ± 9.0%;0.96 ± 20.5%
1-Insertions_6;1.10 ± 106.9%;0.00 ± 0%;653.63 ± 1.9%;0.00 ± 0%
2-Insertions_3;0.00 ± 0%;0.00 ± 0%;1.83 ± 35.3%;0.00 ± 0%
2-Insertions_4;2.17 ± 64.9%;1.00 ± 0.0%;67.17 ± 3.0%;0.97 ± 17.7%
2-Insertions_5;0.83 ± 97.0%;0.00 ± 0%;451.47 ± 2.6%;0.00 ± 0%
3-FullIns_4;2.62 ± 43.7%;11.00 ± 0.0%;346.47 ± 2.5%;57.94 ± 0.5%
3-Insertions_3;0.00 ± 0%;0.00 ± 0%;5.83 ± 14.3%;0.00 ± 0%
4-FullIns_4;3.27 ± 39.8%;11.00 ± 0.0%;605.07 ± 2.1%;79.93 ± 0.4%
4-Insertions_3;2.59 ± 76.5%;1.00 ± 0.0%;17.03 ± 8.2%;0.98 ± 14.4%
4-Insertions_4;0.20 ± 224.7%;0.00 ± 0%;229.77 ± 2.9%;0.00 ± 0%
DSJC1000.1;152.47 ± 6.6%;157.00 ± 0.0%;2059.33 ± 0.8%;331.94 ± 0.1%
DSJC250.1;28.54 ± 15.4%;30.00 ± 0.0%;275.70 ± 2.5%;67.80 ± 1.0%
DSJC250.5;43.43 ± 11.6%;38.00 ± 0.0%;439.87 ± 1.4%;84.98 ± 0.2%
DSJC500.1;74.36 ± 9.0%;81.00 ± 0.0%;803.30 ± 0.9%;177.90 ± 0.3%
DSJC500.5;98.60 ± 7.1%;98.00 ± 0.0%;1100.30 ± 1.1%;191.98 ± 0.1%
DSJR500.1;7.35 ± 25.8%;5.00 ± 0.0%;208.87 ± 2.2%;6.99 ± 1.4%
DSJR500.1c;18.09 ± 18.1%;26.00 ± 0.0%;1258.07 ± 0.8%;63.00 ± 0.0%
DSJR500.5;48.82 ± 9.9%;34.00 ± 0.0%;385.60 ± 1.7%;43.00 ± 0.0%
qg.order30;15.10 ± 28.5%;0.00 ± 0%;703.90 ± 1.9%;87.94 ± 0.4%
qg.order40;26.70 ± 15.1%;108.00 ± 0.0%;1319.87 ± 1.5%;383.70 ± 0.2%
qg.order60;50.61 ± 12.0%;0.00 ± 0%;3109.83 ± 0.9%;352.00 ± 0.0%
ash331GPIA;19.88 ± 41.0%;41.00 ± 0.0%;699.90 ± 2.0%;138.75 ± 0.5%
ash608GPIA;35.05 ± 31.2%;63.00 ± 0.0%;1357.87 ± 1.3%;311.62 ± 0.3%
will199GPIA;10.48 ± 36.4%;7.00 ± 0.0%;734.13 ± 1.6%;74.93 ± 0.6%
le450_15a;41.40 ± 10.1%;34.00 ± 0.0%;411.93 ± 2.0%;70.98 ± 0.2%
le450_15b;39.85 ± 10.0%;43.00 ± 0.0%;411.13 ± 1.9%;76.89 ± 0.7%
le450_15c;232.30 ± 4.8%;242.00 ± 0.0%;882.83 ± 1.1%;339.92 ± 0.1%
le450_15d;237.33 ± 3.7%;238.00 ± 0.0%;884.33 ± 1.6%;329.91 ± 0.1%
le450_25a;7.40 ± 24.6%;4.00 ± 0.0%;245.37 ± 2.0%;7.99 ± 1.3%
le450_25b;5.21 ± 25.6%;4.00 ± 0.0%;244.97 ± 2.8%;7.00 ± 0.0%
le450_25c;61.80 ± 7.6%;56.00 ± 0.0%;549.17 ± 1.3%;99.95 ± 0.3%
le450_25d;61.65 ± 6.9%;58.00 ± 0.0%;548.57 ± 1.3%;102.00 ± 0.0%
le450_5a;182.07 ± 58.9%;327.00 ± 0.0%;804.47 ± 1.5%;476.05 ± 0.4%
le450_5b;187.87 ± 56.3%;106.00 ± 0.0%;806.47 ± 1.6%;454.78 ± 0.5%
le450_5c;87.89 ± 37.9%;69.00 ± 0.0%;1421.00 ± 1.1%;731.82 ± 0.4%
le450_5d;90.54 ± 33.3%;71.00 ± 0.0%;1410.27 ± 0.9%;845.71 ± 0.3%
mug100_1;0.00 ± 0%;0.00 ± 0%;13.47 ± 9.9%;0.00 ± 0%
mug100_25;0.00 ± 0%;0.00 ± 0%;13.37 ± 10.8%;0.00 ± 0%
mug88_1;0.00 ± 0%;0.00 ± 0%;10.93 ± 10.2%;0.00 ± 0%
mug88_25;0.00 ± 0%;0.00 ± 0%;10.97 ± 12.1%;0.00 ± 0%
myciel3;0.00 ± 0%;0.00 ± 0%;0.00 ± 0%;0.00 ± 0%
myciel4;0.01 ± 1000.0%;0.00 ± 0%;0.53 ± 95.1%;0.00 ± 0%
myciel5;0.11 ± 285.9%;0.00 ± 0%;11.23 ± 12.5%;0.00 ± 0%
myciel6;0.35 ± 159.2%;0.00 ± 0%;53.67 ± 4.7%;0.00 ± 0%
myciel7;0.99 ± 111.7%;0.00 ± 0%;189.00 ± 2.5%;0.00 ± 0%
fpsol2.i.1;16.05 ± 9.4%;0.00 ± 0%;127.50 ± 2.8%;0.00 ± 0%
fpsol2.i.2;34.68 ± 13.9%;0.00 ± 0%;212.00 ± 2.3%;0.00 ± 0%
fpsol2.i.3;35.27 ± 14.3%;0.00 ± 0%;209.27 ± 3.2%;0.00 ± 0%
inithx.i.1;35.77 ± 9.7%;0.00 ± 0%;267.47 ± 3.0%;0.00 ± 0%
inithx.i.2;60.15 ± 11.6%;0.00 ± 0%;346.13 ± 2.2%;0.00 ± 0%
inithx.i.3;60.53 ± 11.5%;0.00 ± 0%;347.27 ± 2.1%;0.00 ± 0%
mulsol.i.1;4.84 ± 28.7%;0.00 ± 0%;47.70 ± 4.3%;0.00 ± 0%
mulsol.i.2;15.92 ± 10.0%;0.00 ± 0%;80.20 ± 3.7%;0.00 ± 0%
mulsol.i.3;15.94 ± 10.2%;0.00 ± 0%;80.77 ± 3.5%;0.00 ± 0%
mulsol.i.4;16.28 ± 10.6%;0.00 ± 0%;81.90 ± 3.7%;0.00 ± 0%
mulsol.i.5;16.45 ± 9.9%;0.00 ± 0%;82.90 ± 2.8%;0.00 ± 0%
zeroin.i.1;9.56 ± 16.5%;0.00 ± 0%;50.43 ± 5.0%;0.00 ± 0%
zeroin.i.2;10.23 ± 13.2%;0.00 ± 0%;73.37 ± 3.8%;0.00 ± 0%
zeroin.i.3;10.06 ± 11.6%;0.00 ± 0%;74.13 ± 3.7%;0.00 ± 0%
