group;instance_name;V_E;k;conflitos_Greedy;tempo_s_Greedy;conflitos_Tabu_rand;tempo_s_Tabu_rand;conflitos_Tabu_gree;tempo_s_Tabu_gree;conflitos_SA_rand;tempo_s_SA_rand;conflitos_SA_gree;tempo_SA_gree;V;E
CAR;1-Insertions_4;(67/232);4;1;0.026;1.0;0.080736;1;0.098965;16;608.108;0;0.044;67;232
CAR;1-Insertions_6;(607/6337);7;0;0.318;0.0;0.505424;0;0.000435;628;13243.622;0;0.484;607;6337
CAR;2-Insertions_3;(37/72);4;0;0.012;0.0;7e-05;0;2e-05;1;210.505;0;0.025;37;72
CAR;2-Insertions_4;(149/541);4;1;0.049;1.0;0.172162;1;0.192954;63;1363.79;0;0.091;149;541
CAR;2-Insertions_5;(597/3936);6;0;0.254;0.0;0.280215;0;0.000322;415;8546.961;0;0.359;597;3936
CAR;3-FullIns_4;(405/3524);7;58;0.285;0.0;0.178862;11;1.433548;324;7378.807;56;1429.161;405;3524
CAR;3-Insertions_3;(56/110);4;0;0.016;0.0;0.000166;0;2.4e-05;4;307.999;0;0.033;56;110
CAR;4-FullIns_4;(690/6650);8;80;0.486;0.0;0.730643;11;2.123744;576;13383.807;78;2585.933;690;6650
CAR;4-Insertions_3;(79/156);3;1;0.024;1.0;0.080294;1;0.091979;14;434.794;0;0.043;79;156
CAR;4-Insertions_4;(475/1795);5;0;0.149;0.0;0.082539;0;0.000195;216;4264.31;0;0.223;475;1795
DSJ;DSJC1000.1;(1000/49629);20;332;4.489;127.0;184.053307;157;177.194482;2031;92320.115;330;16553.722;1000;49629
DSJ;DSJC250.1;(250/3218);8;68;0.256;20.0;2.921509;30;3.963587;259;6505.484;63;1266.233;250;3218
DSJ;DSJC250.5;(250/15668);28;85;1.682;31.0;25.237369;38;27.153678;420;25913.448;83;5204.216;250;15668
DSJ;DSJC500.1;(500/12458);12;178;1.018;62.0;23.882313;81;26.925625;783;23709.311;175;4535.601;500;12458
DSJ;DSJC500.5;(500/62624);48;192;9.882;82.0;233.702746;98;239.692013;1073;109185.834;190;21112.416;500;62624
DSJ;DSJR500.1;(500/3555);12;7;0.256;3.0;1.29239;5;1.160731;198;6604.32;6;1298.229;500;3555
DSJ;DSJR500.1c;(500/121275);85;63;13.831;11.0;114.672326;26;129.27188;1227;207857.024;63;41385.073;500;121275
DSJ;DSJR500.5;(500/58862);122;43;7.893;34.0;273.149589;34;243.818298;362;87011.851;43;17125.95;500;58862
GOM;qg.order100;(10000/990000);100;2240;231.768;;;157;8925.788795;8748;1623813.21;2238;292786.9;10000;990000
GOM;qg.order30;(900/26100);30;88;1.92;5.0;17.306757;0;0.066601;679;43821.078;86;8310.133;900;26100
GOM;qg.order40;(1600/62400);40;384;8.171;14.0;104.426579;108;358.816168;1268;102988.237;381;19376.278;1600;62400
GOM;qg.order60;(3600/212400);60;352;19.953;38.0;1342.909423;0;4.076594;3044;350539.337;352;67172.315;3600;212400
HOS;ash331GPIA;(662/4185);4;139;0.398;4.0;1.488079;41;3.82891;664;10550.862;135;1986.033;662;4185
HOS;ash608GPIA;(1216/7844);4;312;0.678;8.0;5.087486;63;8.267504;1328;20081.372;308;3913.71;1216;7844
HOS;will199GPIA;(701/6772);7;75;0.587;3.0;2.524963;7;1.503074;706;15256.678;71;2896.0;701;6772
LEI;le450_15a;(450/8168);15;71;0.628;32.0;12.357373;34;12.392548;395;14240.606;70;2815.595;450;8168
LEI;le450_15b;(450/8169);15;77;0.624;29.0;10.83355;43;15.477056;394;14432.151;73;2753.624;450;8169
LEI;le450_15c;(450/16680);15;340;1.837;202.0;72.363809;242;80.04752;867;31204.943;337;5997.846;450;16680
LEI;le450_15d;(450/16750);15;330;1.897;216.0;74.466252;238;77.868098;850;32458.184;328;5869.659;450;16750
LEI;le450_25a;(450/8260);25;8;0.487;4.0;2.784138;4;2.262062;233;12793.69;7;2502.456;450;8260
LEI;le450_25b;(450/8263);25;7;0.538;2.0;2.215683;4;2.325613;217;13003.589;7;2538.031;450;8263
LEI;le450_25c;(450/17343);25;100;1.628;51.0;42.58711;56;41.178439;532;29117.839;98;5507.315;450;17343
LEI;le450_25d;(450/17425);25;102;1.601;50.0;40.097947;58;42.868209;529;29117.987;102;5649.17;450;17425
LEI;le450_5a;(450/5714);5;477;0.59;38.0;4.350355;327;21.810565;776;13150.807;467;2594.496;450;5714
LEI;le450_5b;(450/5734);5;456;0.588;38.0;4.188778;106;8.806069;777;13181.168;443;2525.832;450;5734
LEI;le450_5c;(450/9803);5;733;1.009;14.0;2.57803;69;4.397682;1375;22977.066;718;4376.569;450;9803
LEI;le450_5d;(450/9757);5;847;0.973;9.0;2.809481;71;5.570245;1364;23619.004;838;4448.422;450;9757
MIZ;mug100_1;(100/166);4;0;0.028;0.0;0.000602;0;5e-05;11;472.457;0;0.054;100;166
MIZ;mug100_25;(100/166);4;0;0.028;0.0;0.000512;0;4.4e-05;10;461.782;0;0.104;100;166
MIZ;mug88_1;(88/146);4;0;0.025;0.0;0.000428;0;3.6e-05;8;411.757;0;0.045;88;146
MIZ;mug88_25;(88/146);4;0;0.027;0.0;0.000339;0;3.6e-05;6;413.802;0;0.047;88;146
MYC;myciel3;(11/20);4;0;0.006;0.0;1.1e-05;0;9e-06;0;0.017;0;0.015;11;20
MYC;myciel4;(23/71);5;0;0.01;0.0;6e-05;0;1.4e-05;0;11.821;0;0.029;23;71
MYC;myciel5;(47/236);6;0;0.023;0.0;0.000394;0;2.9e-05;8;570.067;0;0.039;47;236
MYC;myciel6;(95/755);7;0;0.048;0.0;0.003634;0;6.1e-05;49;1637.595;0;0.089;95;755
MYC;myciel7;(191/2360);8;0;0.134;0.0;0.034027;0;0.000152;177;4851.923;0;0.182;191;2360
REG;fpsol2.i.1;(496/11654);65;0;0.668;13.0;27.868005;0;0.000769;121;12842.802;0;0.784;496;11654
REG;fpsol2.i.2;(451/8691);30;0;0.435;24.0;13.898712;0;0.000556;204;11589.644;0;0.63;451;8691
REG;fpsol2.i.3;(425/8688);30;0;0.451;23.0;13.801032;0;0.000565;195;11993.995;0;0.693;425;8688
REG;inithx.i.1;(864/18707);54;0;0.983;27.0;63.574894;0;0.001635;243;21356.279;0;1.365;864;18707
REG;inithx.i.2;(645/13979);31;0;0.716;44.0;30.160518;0;0.001153;325;18684.611;0;1.014;645;13979
REG;inithx.i.3;(621/13969);31;0;0.797;47.0;29.420985;0;0.000884;324;19856.745;0;0.99;621;13969
REG;mulsol.i.1;(197/3925);49;0;0.208;1.0;1.085631;0;0.000246;41;5042.458;0;0.283;197;3925
REG;mulsol.i.2;(188/3885);31;0;0.216;12.0;6.769879;0;0.00024;74;5805.698;0;0.278;188;3885
REG;mulsol.i.3;(184/3916);31;0;0.214;13.0;7.341987;0;0.000242;73;5801.969;0;0.279;184;3916
REG;mulsol.i.4;(185/3946);31;0;0.228;12.0;6.966812;0;0.000255;75;5889.041;0;0.284;185;3946
REG;mulsol.i.5;(186/3973);31;0;0.206;13.0;7.664533;0;0.000248;78;5750.989;0;0.298;186;3973
REG;zeroin.i.1;(211/4100);49;0;0.246;6.0;5.153751;0;0.000253;42;5028.659;0;0.337;211;4100
REG;zeroin.i.2;(211/3541);30;0;0.207;8.0;4.886073;0;0.000248;68;4863.524;0;0.268;211;3541
REG;zeroin.i.3;(206/3540);30;0;0.198;8.0;5.005242;0;0.000282;69;4930.047;0;0.268;206;3540
SGB;anna;(138/493);11;2;0.073;0.0;0.002604;2;0.334704;28;1595.926;2;304.549;138;493
SGB;david;(87/406);11;2;0.058;0.0;0.001739;0;0.000141;24;1354.927;2;267.885;87;406
SGB;games120;(120/638);9;0;0.078;0.0;0.004558;0;9.5e-05;54;2459.157;0;0.153;120;638
SGB;homer;(561/1629);13;8;0.253;114.0;0.033859;8;0.000592;126;4920.946;8;956.61;561;1629
SGB;huck;(74/301);11;0;0.042;0.0;0.000649;0;5.6e-05;12;1027.857;0;0.066;74;301
SGB;jean;(80/254);10;0;0.041;0.0;0.000453;0;5.3e-05;8;871.778;0;0.091;80;254
SGB;miles1000;(128/3216);42;4;0.353;4.0;2.120943;4;2.295509;76;9089.038;4;1747.86;128;3216
SGB;miles1500;(128/5198);73;6;0.762;2.0;2.918586;6;6.488049;70;13923.581;6;2641.569;128;5198
SGB;miles250;(128/387);8;2;0.056;0.0;0.001925;0;0.0001;36;1386.065;0;0.091;128;387
SGB;miles500;(128/1170);20;4;0.151;2.0;0.503458;4;0.774936;50;3451.485;4;696.898;128;1170
SGB;miles750;(128/2113);31;6;0.228;4.0;1.258024;4;1.35195;64;5914.187;4;1200.859;128;2113
SGB;queen11_11;(121/3960);11;76;0.314;22.0;3.233987;42;3.823104;204;7363.454;70;1435.671;121;3960
SGB;queen13_13;(169/6656);13;122;0.605;44.0;5.756813;56;7.658105;312;12379.863;116;2328.22;169;6656
SGB;queen5_5;(25/160);5;16;0.03;0.0;0.000338;12;0.211211;12;752.384;12;143.349;25;160
SGB;queen6_6;(36/290);7;14;0.044;0.0;0.001541;6;0.244584;26;1199.667;10;236.573;36;290
SGB;queen7_7;(49/476);7;34;0.081;12.0;0.422795;22;0.720922;56;1990.116;30;395.47;49;476
SGB;queen8_12;(96/1368);12;28;0.184;2.0;0.413147;2;0.577231;112;4969.331;26;998.792;96;1368
SGB;queen8_8;(64/728);9;18;0.096;4.0;0.345086;8;0.579385;66;2788.266;16;555.457;64;728
SGB;queen9_9;(81/2112);10;32;0.152;6.0;0.570486;6;0.665161;100;4014.088;30;786.516;81;2112
